module_id,title,description,time_limit,slug,is_free
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 1,Série de tests d'expression écrite numéro 1,3600,expression-ecrite-serie-1,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 2,Série de tests d'expression écrite numéro 2,3600,expression-ecrite-serie-2,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 3,Série de tests d'expression écrite numéro 3,3600,expression-ecrite-serie-3,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 4,Série de tests d'expression écrite numéro 4,3600,expression-ecrite-serie-4,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 5,Série de tests d'expression écrite numéro 5,3600,expression-ecrite-serie-5,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 6,Série de tests d'expression écrite numéro 6,3600,expression-ecrite-serie-6,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 7,Série de tests d'expression écrite numéro 7,3600,expression-ecrite-serie-7,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 8,Série de tests d'expression écrite numéro 8,3600,expression-ecrite-serie-8,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 9,Série de tests d'expression écrite numéro 9,3600,expression-ecrite-serie-9,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 10,Série de tests d'expression écrite numéro 10,3600,expression-ecrite-serie-10,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 11,Série de tests d'expression écrite numéro 11,3600,expression-ecrite-serie-11,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 12,Série de tests d'expression écrite numéro 12,3600,expression-ecrite-serie-12,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 13,Série de tests d'expression écrite numéro 13,3600,expression-ecrite-serie-13,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 14,Série de tests d'expression écrite numéro 14,3600,expression-ecrite-serie-14,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 15,Série de tests d'expression écrite numéro 15,3600,expression-ecrite-serie-15,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 16,Série de tests d'expression écrite numéro 16,3600,expression-ecrite-serie-16,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 17,Série de tests d'expression écrite numéro 17,3600,expression-ecrite-serie-17,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 18,Série de tests d'expression écrite numéro 18,3600,expression-ecrite-serie-18,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 19,Série de tests d'expression écrite numéro 19,3600,expression-ecrite-serie-19,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 20,Série de tests d'expression écrite numéro 20,3600,expression-ecrite-serie-20,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 21,Série de tests d'expression écrite numéro 21,3600,expression-ecrite-serie-21,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 22,Série de tests d'expression écrite numéro 22,3600,expression-ecrite-serie-22,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 23,Série de tests d'expression écrite numéro 23,3600,expression-ecrite-serie-23,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 24,Série de tests d'expression écrite numéro 24,3600,expression-ecrite-serie-24,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 25,Série de tests d'expression écrite numéro 25,3600,expression-ecrite-serie-25,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 26,Série de tests d'expression écrite numéro 26,3600,expression-ecrite-serie-26,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 27,Série de tests d'expression écrite numéro 27,3600,expression-ecrite-serie-27,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 28,Série de tests d'expression écrite numéro 28,3600,expression-ecrite-serie-28,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 29,Série de tests d'expression écrite numéro 29,3600,expression-ecrite-serie-29,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 30,Série de tests d'expression écrite numéro 30,3600,expression-ecrite-serie-30,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 31,Série de tests d'expression écrite numéro 31,3600,expression-ecrite-serie-31,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 32,Série de tests d'expression écrite numéro 32,3600,expression-ecrite-serie-32,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 33,Série de tests d'expression écrite numéro 33,3600,expression-ecrite-serie-33,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 34,Série de tests d'expression écrite numéro 34,3600,expression-ecrite-serie-34,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 35,Série de tests d'expression écrite numéro 35,3600,expression-ecrite-serie-35,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 36,Série de tests d'expression écrite numéro 36,3600,expression-ecrite-serie-36,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 37,Série de tests d'expression écrite numéro 37,3600,expression-ecrite-serie-37,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 38,Série de tests d'expression écrite numéro 38,3600,expression-ecrite-serie-38,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 39,Série de tests d'expression écrite numéro 39,3600,expression-ecrite-serie-39,true
1ece538c-8d39-4bea-8819-b0927dee4751,Expression Écrite - Série 40,Série de tests d'expression écrite numéro 40,3600,expression-ecrite-serie-40,true 